City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,San Rafael Del Sur,NI,83.37,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
7,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Jamestown,US,81.05,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
22,Port Elizabeth,ZA,81.1,clear sky,-33.918,25.5701,39 On Nile Guest House
23,Kruisfontein,ZA,78.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
27,Hithadhoo,MV,81.36,overcast clouds,-0.6,73.0833,Scoop Guest House
28,Lorengau,PG,79.74,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
30,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
33,Wanning,CN,76.37,moderate rain,18.8003,110.3967,Paradise Hotel
35,Lazaro Cardenas,MX,87.53,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
40,Hobyo,SO,76.71,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
43,Kapaa,US,84.11,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Pacifica,US,82.67,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
48,Atuona,PF,77.86,overcast clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
51,Misratah,LY,81.55,clear sky,32.3754,15.0925,Almasa Hotel
52,Teknaf,BD,79.43,few clouds,20.8624,92.3058,Forestry Guesthouse
54,Butaritari,KI,81.46,clear sky,3.0707,172.7902,Isles Sunset Lodge
60,Touros,BR,79.38,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
62,Hilo,US,88.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
63,Inirida,CO,81.57,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
66,Victoria,HK,82.26,overcast clouds,22.2855,114.1577,Mini Central
68,Kavaratti,IN,80.2,moderate rain,10.5669,72.642,Green leaf
70,Mweka,CD,78.84,broken clouds,-4.85,21.5667,Guest House Boshab
77,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
79,Nikolskoye,RU,75.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
83,Sinnamary,GF,83.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
99,Pierre,US,86.86,few clouds,44.3683,-100.351,Ramkota Hotel
100,Shingu,JP,77.59,scattered clouds,33.7333,135.9833,Shingu UI Hotel
102,Ellenabad,IN,85.48,broken clouds,29.45,74.65,Lovelysweets
111,Waingapu,ID,75.0,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
116,Oxford,GB,76.48,few clouds,51.7522,-1.256,Malmaison Oxford
118,Oda,JP,76.42,broken clouds,35.1833,132.5,Sky Hotel Oda
119,Ponta Do Sol,PT,77.0,clear sky,32.6667,-17.1,Hotel do Campo
