City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,33.06,90,100,2.77,overcast clouds
1,Xining,CN,36.6167,101.7667,56.23,86,100,2.73,overcast clouds
2,Clyde River,CA,70.4692,-68.5914,39.43,87,75,9.22,broken clouds
3,Busselton,AU,-33.65,115.3333,53.49,66,94,8.37,overcast clouds
4,San Rafael Del Sur,NI,11.8485,-86.4384,83.37,80,100,7.31,overcast clouds
5,Harrisonville,US,38.6533,-94.3488,91.08,45,0,0.0,clear sky
6,Tigil,RU,57.8,158.6667,54.72,94,100,17.65,moderate rain
7,Puerto Ayora,EC,-0.7393,-90.3518,75.16,82,96,4.0,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,69.08,70,100,13.76,overcast clouds
9,Richards Bay,ZA,-28.783,32.0377,67.12,73,0,12.73,clear sky
10,Adrar,MR,20.5022,-10.0711,102.6,21,0,11.77,clear sky
11,Ushuaia,AR,-54.8,-68.3,44.26,45,40,11.5,scattered clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,94,100,5.75,light rain
13,Jamestown,US,42.097,-79.2353,81.05,57,40,6.91,scattered clouds
14,Bethel,US,41.3712,-73.414,90.63,50,40,6.91,scattered clouds
15,Lebu,CL,-37.6167,-73.65,50.04,74,81,18.3,broken clouds
16,North Bend,US,43.4065,-124.2243,70.92,88,100,17.27,overcast clouds
17,Albany,US,42.6001,-73.9662,84.85,54,84,6.8,broken clouds
18,Saint-Augustin,CA,51.226,-58.6502,66.54,79,99,3.94,overcast clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,69.82,51,0,9.22,clear sky
20,Biguacu,BR,-27.4942,-48.6556,73.42,85,6,5.73,clear sky
21,Sao Lourenco,BR,-22.1164,-45.0544,71.74,45,79,6.6,broken clouds
22,Port Elizabeth,ZA,-33.918,25.5701,81.1,42,0,6.91,clear sky
23,Kruisfontein,ZA,-34.0033,24.7314,78.89,29,31,7.4,scattered clouds
24,Ouadda,CF,8.0777,22.4007,68.77,96,100,1.63,moderate rain
25,Aksu,CN,41.1231,80.2644,71.44,46,100,1.28,light rain
26,Dharchula,IN,29.85,80.5333,72.41,94,100,1.48,overcast clouds
27,Hithadhoo,MV,-0.6,73.0833,81.36,73,100,5.1,overcast clouds
28,Lorengau,PG,-2.0226,147.2712,79.74,72,6,5.44,clear sky
29,Boysun,UZ,38.2061,67.1986,62.69,27,3,3.74,clear sky
30,Georgetown,MY,5.4112,100.3354,80.53,89,20,2.3,few clouds
31,Saint George,US,37.1041,-113.5841,99.79,24,0,5.01,clear sky
32,Castro,BR,-24.7911,-50.0119,68.0,51,22,5.1,few clouds
33,Wanning,CN,18.8003,110.3967,76.37,90,100,7.76,moderate rain
34,Biak,ID,-0.9131,122.8766,74.75,86,100,5.12,overcast clouds
35,Lazaro Cardenas,MX,17.9583,-102.2,87.53,61,20,9.62,few clouds
36,Lagos,NG,6.5833,3.75,74.7,87,100,5.01,overcast clouds
37,Kodiak,US,57.79,-152.4072,54.91,94,100,8.05,overcast clouds
38,Mount Gambier,AU,-37.8333,140.7667,48.11,93,75,5.75,broken clouds
39,Qaanaaq,GL,77.484,-69.3632,37.24,97,100,9.4,overcast clouds
40,Hobyo,SO,5.3505,48.5268,76.71,81,100,22.86,overcast clouds
41,Yar-Sale,RU,66.8333,70.8333,53.56,58,5,20.02,clear sky
42,Abu Dhabi,AE,24.4667,54.3667,98.71,63,0,4.61,clear sky
43,Kapaa,US,22.0752,-159.319,84.11,76,20,4.0,light rain
44,Chimbote,PE,-9.0853,-78.5783,67.89,71,11,11.23,few clouds
45,Fortuna,US,40.5982,-124.1573,62.65,100,100,5.75,overcast clouds
46,Pacifica,US,37.6138,-122.4869,82.67,82,20,21.0,few clouds
47,Suntar,RU,62.1444,117.6319,44.85,82,100,3.91,overcast clouds
48,Atuona,PF,-9.8,-139.0333,77.86,62,92,8.61,overcast clouds
49,Maneadero,MX,31.7167,-116.5667,73.09,79,19,7.0,few clouds
50,Hermanus,ZA,-34.4187,19.2345,58.8,78,0,14.88,clear sky
51,Misratah,LY,32.3754,15.0925,81.55,60,0,7.4,clear sky
52,Teknaf,BD,20.8624,92.3058,79.43,89,22,2.82,few clouds
